id;ref_num;TEI-TAG;equivalent;
1;1;ab;;
2;2;abbr;;
3;3;accMat;;
4;4;acquisition;;
5;5;activity;;
6;6;actor;;
7;7;add;;
8;8;additional;;
9;9;additions;;
10;10;addName;;
11;11;address;;
12;12;addrLine;;
13;13;addSpan;;
14;14;adminInfo;;
15;15;affiliation;;
16;16;age;;
17;17;alt;;
18;18;altGrp;;
19;19;altIdent;;
20;20;altIdentifier;;
21;21;am;;
22;22;analytic;;
23;23;anchor;;
24;24;app;;
25;25;appInfo;;
26;26;application;;
27;27;arc;;
28;28;argument;;
29;29;att.ascribed;;
30;30;att.breaking;;
31;31;att.canonical;;
32;32;att.combinable;;
33;33;att.coordinated;;
34;34;att.cReferencing;;
35;35;att.damaged;;
36;36;att.datable.custom;;
37;37;att.datable;;
38;38;att.datable.iso;;
39;39;att.datable.w3c;;
40;40;att.datcat;;
41;41;att.declarable;;
42;42;att.declaring;;
43;43;att.dimensions;;
44;44;att.divLike;;
45;45;att.docStatus;;
46;46;att.duration;;
47;47;att.duration.iso;;
48;48;att.duration.w3c;;
49;49;att.edition;;
50;50;att.editLike;;
51;51;att.enjamb;;
52;52;att.entryLike;;
53;53;att.fragmentable;;
54;54;att.global.analytic;;
55;55;att.global.change;;
56;56;att.global.facs;;
57;57;att.global;;
58;58;att.global.linking;;
59;59;att.handFeatures;;
60;60;att;;
61;61;att.identified;;
62;62;att.internetMedia;;
63;63;att.interpLike;;
64;64;att.lexicographic;;
65;65;att.measurement;;
66;66;att.media;;
67;67;att.metrical;;
68;68;att.milestoneUnit;;
69;69;att.msExcerpt;;
70;70;att.namespaceable;;
71;71;att.naming;;
72;72;att.patternReplacement;;
73;73;att.personal;;
74;74;att.placement;;
75;75;att.pointing.group;;
76;76;att.pointing;;
77;77;att.ranging;;
78;78;att.rdgPart;;
79;79;att.readFrom;;
80;80;att.resourced;;
81;81;att.segLike;;
82;82;att.sortable;;
83;83;att.source;;
84;84;att.spanning;;
85;85;att.styleDef;;
86;86;att.tableDecoration;;
87;87;att.textCritical;;
88;88;att.timed;;
89;89;att.transcriptional;;
90;90;att.translatable;;
91;91;att.typed;;
92;92;att.witnessed;;
93;93;attDef;;
94;94;attList;;
95;95;attRef;;
96;96;author;;
97;97;authority;;
98;98;availability;;
99;99;back;;
100;100;bibl;;
101;101;biblFull;;
102;102;biblScope;;
103;103;biblStruct;;
104;104;bicond;;
105;105;binary;;
106;106;binaryObject;;
107;107;binding;;
108;108;bindingDesc;;
109;109;birth;;
110;110;bloc;;
111;111;body;;
112;112;broadcast;;
113;113;byline;;
114;114;c;;
115;115;caesura;;
116;116;calendar;;
117;117;calendarDesc;;
118;118;camera;;
119;119;caption;;
120;120;case;;
121;121;castGroup;;
122;122;castItem;;
123;123;castList;;
124;124;catchwords;;
125;125;catDesc;;
126;126;category;;
127;127;catRef;;
128;128;cb;;
129;129;cell;;
130;130;certainty;;
131;131;change;;
132;132;channel;;
133;133;char;;
134;134;charDecl;;
135;135;charName;;
136;136;charProp;;
137;137;choice;;
138;138;cit;;
139;139;citedRange;;
140;140;cl;;
141;141;classCode;;
142;142;classDecl;;
143;143;classes;;
144;144;classRef;;
145;145;classSpec;;
146;146;climate;;
147;147;closer;;
148;148;code;;
149;149;collation;;
150;150;collection;;
151;151;colloc;;
152;152;colophon;;
153;153;cond;;
154;154;condition;;
155;155;constitution;;
156;156;constraint;;
157;157;constraintSpec;;
158;158;content;;
159;159;corr;;
160;160;correction;;
161;161;country;;
162;162;creation;;
163;163;cRefPattern;;
164;164;custEvent;;
165;165;custodialHist;;
166;166;damage;;
167;167;damageSpan;;
168;168;data.certainty;;
169;169;data.count;;
170;170;data.duration.iso;;
171;171;data.duration.w3c;;
172;172;data.enumerated;;
173;173;data.language;;
174;174;data.name;;
175;175;data.namespace;;
176;176;data.numeric;;
177;177;data.outputMeasurement;;
178;178;data.pattern;;
179;179;data.point;;
180;180;data.pointer;;
181;181;data.probability;;
182;182;data.sex;;
183;183;data.temporal.iso;;
184;184;data.temporal.w3c;;
185;185;data.text;;
186;186;data.truthValue;;
187;187;data.version;;
188;188;data.word;;
189;189;data.xTruthValue;;
190;190;datatype;;
191;191;date;;
192;192;dateline;;
193;193;death;;
194;194;decoDesc;;
195;195;decoNote;;
196;196;def;;
197;197;default;;
198;198;defaultVal;;
199;199;del;;
200;200;delSpan;;
201;201;depth;;
202;202;derivation;;
203;203;desc;;
204;204;dictScrap;;
205;205;dim;;
206;206;dimensions;;
207;207;distinct;;
208;208;distributor;;
209;209;district;;
210;210;div;;
211;211;div1;;
212;212;div2;;
213;213;div3;;
214;214;div4;;
215;215;div5;;
216;216;div6;;
217;217;div7;;
218;218;divGen;;
219;219;docAuthor;;
220;220;docDate;;
221;221;docEdition;;
222;222;docImprint;;
223;223;docTitle;;
224;224;domain;;
225;225;edition;;
226;226;editionStmt;;
227;227;editor;;
228;228;editorialDecl;;
229;229;education;;
230;230;eg;;
231;231;egXML;;
232;232;eLeaf;;
233;233;elementRef;;
234;234;elementSpec;;
235;235;email;;
236;236;emph;;
237;237;encodingDesc;;
238;238;entry;;
239;239;entryFree;;
240;240;epigraph;;
241;241;epilogue;;
242;242;equipment;;
243;243;equiv;;
244;244;eTree;;
245;245;etym;;
246;246;event;;
247;247;ex;;
248;248;exemplum;;
249;249;expan;;
250;250;explicit;;
251;251;extent;;
252;252;f;;
253;253;facsimile;;
254;254;factuality;;
255;255;faith;;
256;256;fDecl;;
257;257;fDescr;;
258;258;figDesc;;
259;259;figure;;
260;260;fileDesc;;
261;261;filiation;;
262;262;finalRubric;;
263;263;fLib;;
264;264;floatingText;;
265;265;floruit;;
266;266;foliation;;
267;267;foreign;;
268;268;forename;;
269;269;forest;;
270;270;form;;
271;271;formula;;
272;272;front;;
273;273;fs;;
274;274;fsConstraints;;
275;275;fsdDecl;;
276;276;fsDecl;;
277;277;fsDescr;;
278;278;fsdLink;;
279;279;funder;;
280;280;fvLib;;
281;281;fw;;
282;282;g;;
283;283;gap;;
284;284;gb;;
285;285;gen;;
286;286;genName;;
287;287;geo;;
288;288;geoDecl;;
289;289;geogFeat;;
290;290;geogName;;
291;291;gi;;
292;292;gloss;;
293;293;glyph;;
294;294;glyphName;;
295;295;gram;;
296;296;gramGrp;;
297;297;graph;;
298;298;graphic;;
299;299;group;;
300;300;handDesc;;
301;301;handNote;;
302;302;handNotes;;
303;303;handShift;;
304;304;head;;
305;305;headItem;;
306;306;headLabel;;
307;307;height;;
308;308;heraldry;;
309;309;hi;;
310;310;history;;
311;311;hom;;
312;312;hyph;;
313;313;hyphenation;;
314;314;ident;;
315;315;idno;;
316;316;if;;
317;317;iff;;
318;318;imprimatur;;
319;319;imprint;;
320;320;incident;;
321;321;incipit;;
322;322;index;;
323;323;iNode;;
324;324;institution;;
325;325;interaction;;
326;326;interp;;
327;327;interpGrp;;
328;328;interpretation;;
329;329;item;;
330;330;iType;;
331;331;join;;
332;332;joinGrp;;
333;333;keywords;;
334;334;kinesic;;
335;335;l;;
336;336;label;;
337;337;lacunaEnd;;
338;338;lacunaStart;;
339;339;lang;;
340;340;langKnowledge;;
341;341;langKnown;;
342;342;language;;
343;343;langUsage;;
344;344;layout;;
345;345;layoutDesc;;
346;346;lb;;
347;347;lbl;;
348;348;leaf;;
349;349;lem;;
350;350;lg;;
351;351;licence;;
352;352;line;;
353;353;link;;
354;354;linkGrp;;
355;355;list;;
356;356;listApp;;
357;357;listBibl;;
358;358;listChange;;
359;359;listEvent;;
360;360;listForest;;
361;361;listNym;;
362;362;listOrg;;
363;363;listPerson;;
364;364;listPlace;;
365;365;listPrefixDef;;
366;366;listRef;;
367;367;listRelation;;
368;368;listTranspose;;
369;369;listWit;;
370;370;locale;;
371;371;localName;;
372;372;location;;
373;373;locus;;
374;374;locusGrp;;
375;375;m;;
376;376;macro.anyXML;;
377;377;macro.limitedContent;;
378;378;macro.paraContent;;
379;379;macro.phraseSeq;;
380;380;macro.phraseSeq.limited;;
381;381;macro.schemaPattern;;
382;382;macro.specialPara;;
383;383;macro.xtext;;
384;384;macroRef;;
385;385;macroSpec;;
386;386;mapping;;
387;387;material;;
388;388;measure;;
389;389;measureGrp;;
390;390;media;;
391;391;meeting;;
392;392;memberOf;;
393;393;mentioned;;
394;394;metamark;;
395;395;metDecl;;
396;396;metSym;;
397;397;milestone;;
398;398;mod;;
399;399;model.addressLike;;
400;400;model.addrPart;;
401;401;model.applicationLike;;
402;402;model.availabilityPart;;
403;403;model.biblLike;;
404;404;model.biblPart;;
405;405;model.castItemPart;;
406;406;model.catDescPart;;
407;407;model.certLike;;
408;408;model.choicePart;;
409;409;model.common;;
410;410;model.dateLike;;
411;411;model.descLike;;
412;412;model.dimLike;;
413;413;model.div1Like;;
414;414;model.div2Like;;
415;415;model.div3Like;;
416;416;model.div4Like;;
417;417;model.div5Like;;
418;418;model.div6Like;;
419;419;model.div7Like;;
420;420;model.divBottom;;
421;421;model.divBottomPart;;
422;422;model.divGenLike;;
423;423;model.divLike;;
424;424;model.divPart;;
425;425;model.divPart.spoken;;
426;426;model.divTop;;
427;427;model.divTopPart;;
428;428;model.divWrapper;;
429;429;model.editorialDeclPart;;
430;430;model.egLike;;
431;431;model.emphLike;;
432;432;model.encodingDescPart;;
433;433;model.entryLike;;
434;434;model.entryPart;;
435;435;model.entryPart.top;;
436;436;model.featureVal.complex;;
437;437;model.featureVal;;
438;438;model.featureVal.single;;
439;439;model.formPart;;
440;440;model.frontPart.drama;;
441;441;model.frontPart;;
442;442;model.gLike;;
443;443;model.global.edit;;
444;444;model.global;;
445;445;model.global.meta;;
446;446;model.global.spoken;;
447;447;model.glossLike;;
448;448;model.gramPart;;
449;449;model.graphicLike;;
450;450;model.headLike;;
451;451;model.highlighted;;
452;452;model.hiLike;;
453;453;model.imprintPart;;
454;454;model.inter;;
455;455;model.labelLike;;
456;456;model.limitedPhrase;;
457;457;model.linePart;;
458;458;model.listLike;;
459;459;model.lLike;;
460;460;model.lPart;;
461;461;model.measureLike;;
462;462;model.milestoneLike;;
463;463;model.morphLike;;
464;464;model.msItemPart;;
465;465;model.msQuoteLike;;
466;466;model.nameLike.agent;;
467;467;model.nameLike;;
468;468;model.noteLike;;
469;469;model.oddDecl;;
470;470;model.oddRef;;
471;471;model.offsetLike;;
472;472;model.orgPart;;
473;473;model.orgStateLike;;
474;474;model.persNamePart;;
475;475;model.personLike;;
476;476;model.personPart;;
477;477;model.persStateLike;;
478;478;model.phrase;;
479;479;model.phrase.xml;;
480;480;model.physDescPart;;
481;481;model.placeLike;;
482;482;model.placeNamePart;;
483;483;model.placeStateLike;;
484;484;model.pLike.front;;
485;485;model.pLike;;
486;486;model.pPart.data;;
487;487;model.pPart.edit;;
488;488;model.pPart.editorial;;
489;489;model.pPart.msdesc;;
490;490;model.pPart.transcriptional;;
491;491;model.profileDescPart;;
492;492;model.ptrLike.form;;
493;493;model.ptrLike;;
494;494;model.qLike;;
495;495;model.quoteLike;;
496;496;model.rdgLike;;
497;497;model.rdgPart;;
498;498;model.recordingPart;;
499;499;model.resourceLike;;
500;500;model.respLike;;
501;501;model.segLike;;
502;502;model.settingPart;;
503;503;model.sourceDescPart;;
504;504;model.specDescLike;;
505;505;model.stageLike;;
506;506;model.teiHeaderPart;;
507;507;model.textDescPart;;
508;508;model.titlepagePart;;
509;509;moduleRef;;
510;510;moduleSpec;;
511;511;monogr;;
512;512;mood;;
513;513;move;;
514;514;msContents;;
515;515;msDesc;;
516;516;msIdentifier;;
517;517;msItem;;
518;518;msItemStruct;;
519;519;msName;;
520;520;msPart;;
521;521;musicNotation;;
522;522;name;;
523;523;nameLink;;
524;524;namespace;;
525;525;nationality;;
526;526;node;;
527;527;normalization;;
528;528;notatedMusic;;
529;529;note;;
530;530;notesStmt;;
531;531;num;;
532;532;number;;
533;533;numeric;;
534;534;nym;;
535;535;objectDesc;;
536;536;objectType;;
537;537;occupation;;
538;538;offset;;
539;539;opener;;
540;540;oRef;;
541;541;org;;
542;542;orgName;;
543;543;orig;;
544;544;origDate;;
545;545;origin;;
546;546;origPlace;;
547;547;orth;;
548;548;oVar;;
549;549;p;;
550;550;particDesc;;
551;551;pause;;
552;552;pb;;
553;553;pc;;
554;554;per;;
555;555;performance;;
556;556;persName;;
557;557;person;;
558;558;personGrp;;
559;559;phr;;
560;560;physDesc;;
561;561;place;;
562;562;placeName;;
563;563;population;;
564;564;pos;;
565;565;postBox;;
566;566;postCode;;
567;567;postscript;;
568;568;precision;;
569;569;pRef;;
570;570;prefixDef;;
571;571;preparedness;;
572;572;principal;;
573;573;profileDesc;;
574;574;projectDesc;;
575;575;prologue;;
576;576;pron;;
577;577;provenance;;
578;578;ptr;;
579;579;publicationStmt;;
580;580;publisher;;
581;581;pubPlace;;
582;582;purpose;;
583;583;pVar;;
584;584;q;;
585;585;quotation;;
586;586;quote;;
587;587;rdg;;
588;588;rdgGrp;;
589;589;re;;
590;590;recordHist;;
591;591;recording;;
592;592;recordingStmt;;
593;593;redo;;
594;594;ref;;
595;595;refsDecl;;
596;596;refState;;
597;597;reg;;
598;598;region;;
599;599;relatedItem;;
600;600;relation;;
601;601;remarks;;
602;602;rendition;;
603;603;repository;;
604;604;residence;;
605;605;resp;;
606;606;respons;;
607;607;respStmt;;
608;608;restore;;
609;609;retrace;;
610;610;revisionDesc;;
611;611;rhyme;;
612;612;role;;
613;613;roleDesc;;
614;614;roleName;;
615;615;root;;
616;616;row;;
617;617;rs;;
618;618;rubric;;
619;619;s;;
620;620;said;;
621;621;salute;;
622;622;samplingDecl;;
623;623;schemaSpec;;
624;624;scriptDesc;;
625;625;scriptNote;;
626;626;scriptStmt;;
627;627;seal;;
628;628;sealDesc;;
629;629;secFol;;
630;630;seg;;
631;631;segmentation;;
632;632;sense;;
633;633;series;;
634;634;seriesStmt;;
635;635;set;;
636;636;setting;;
637;637;settingDesc;;
638;638;settlement;;
639;639;sex;;
640;640;shift;;
641;641;sic;;
642;642;signatures;;
643;643;signed;;
644;644;soCalled;;
645;645;socecStatus;;
646;646;sound;;
647;647;source;;
648;648;sourceDesc;;
649;649;sourceDoc;;
650;650;sp;;
651;651;space;;
652;652;span;;
653;653;spanGrp;;
654;654;speaker;;
655;655;specDesc;;
656;656;specGrp;;
657;657;specGrpRef;;
658;658;specList;;
659;659;spGrp;;
660;660;sponsor;;
661;661;stage;;
662;662;stamp;;
663;663;state;;
664;664;stdVals;;
665;665;street;;
666;666;stress;;
667;667;string;;
668;668;styleDefDecl;;
669;669;subc;;
670;670;subst;;
671;671;substJoin;;
672;672;summary;;
673;673;superEntry;;
674;674;supplied;;
675;675;support;;
676;676;supportDesc;;
677;677;surface;;
678;678;surfaceGrp;;
679;679;surname;;
680;680;surplus;;
681;681;surrogates;;
682;682;syll;;
683;683;symbol;;
684;684;table;;
685;685;tag;;
686;686;tagsDecl;;
687;687;tagUsage;;
688;688;taxonomy;;
689;689;tech;;
690;690;TEI;;
691;691;teiCorpus;;
692;692;teiHeader;;
693;693;term;;
694;694;terrain;;
695;695;text;;
696;696;textClass;;
697;697;textDesc;;
698;698;textLang;;
699;699;then;;
700;700;time;;
701;701;timeline;;
702;702;title;;
703;703;titlePage;;
704;704;titlePart;;
705;705;titleStmt;;
706;706;tns;;
707;707;trailer;;
708;708;trait;;
709;709;transpose;;
710;710;tree;;
711;711;triangle;;
712;712;typeDesc;;
713;713;typeNote;;
714;714;u;;
715;715;unclear;;
716;716;undo;;
717;717;unicodeName;;
718;718;usg;;
719;719;val;;
720;720;valDesc;;
721;721;valItem;;
722;722;valList;;
723;723;vAlt;;
724;724;value;;
725;725;variantEncoding;;
726;726;vColl;;
727;727;vDefault;;
728;728;view;;
729;729;vLabel;;
730;730;vMerge;;
731;731;vNot;;
732;732;vocal;;
733;733;vRange;;
734;734;w;;
735;735;watermark;;
736;736;when;;
737;737;width;;
738;738;wit;;
739;739;witDetail;;
740;740;witEnd;;
741;741;witness;;
742;742;witStart;;
743;743;writing;;
744;744;xr;;
745;745;zone;;
746;746;absolute;;
747;747;active;;
748;748;adj;;
749;749;adjFrom;;
750;750;adjTo;;
751;751;age;;
752;752;agent;;
753;753;aloud;;
754;754;ana;;
755;755;anchored;;
756;756;arity;;
757;757;assertedValue;;
758;758;atLeast;;
759;759;atMost;;
760;760;attachment;;
761;761;atts;;
762;762;autoPrefix;;
763;763;baseForm;;
764;764;baseTypes;;
765;765;break;;
766;766;calendar;;
767;767;cause;;
768;768;cert;;
769;769;change;;
770;770;children;;
771;771;class;;
772;772;code;;
773;773;cols;;
774;774;columns;;
775;775;commodity;;
776;776;confidence;;
777;777;contemporary;;
778;778;copyOf;;
779;779;corresp;;
780;780;cRef;;
781;781;datcat;;
782;782;datingMethod;;
783;783;datingPoint;;
784;784;datum;;
785;785;decls;;
786;786;default;;
787;787;defective;;
788;788;degree;;
789;789;delim;;
790;790;dim;;
791;791;direct;;
792;792;discrete;;
793;793;docLang;;
794;794;domains;;
795;795;dur;;
796;796;dur-iso;;
797;797;ed;;
798;798;edRef;;
799;799;encoding;;
800;800;end;;
801;801;enjamb;;
802;802;eol;;
803;803;evaluate;;
804;804;evidence;;
805;805;except;;
806;806;exclude;;
807;807;expand;;
808;808;extent;;
809;809;facs;;
810;810;feats;;
811;811;feature;;
812;812;filter;;
813;813;flipping;;
814;814;follow;;
815;815;force;;
816;816;form;;
817;817;from;;
818;818;from-custom;;
819;819;from-iso;;
820;820;full;;
821;821;function;;
822;822;fVal;;
823;823;generate;;
824;824;gi;;
825;825;given;;
826;826;gradual;;
827;827;group;;
828;828;hand;;
829;829;hands;;
830;830;height;;
831;831;ident;;
832;832;include;;
833;833;inDegree;;
834;834;indexName;;
835;835;inst;;
836;836;instant;;
837;837;interval;;
838;838;iterated;;
839;839;key;;
840;840;label;;
841;841;lang;;
842;842;lemma;;
843;843;lemmaRef;;
844;844;length;;
845;845;level;;
846;846;loc;;
847;847;location;;
848;848;locus;;
849;849;lrx;;
850;850;lry;;
851;851;mainLang;;
852;852;marks;;
853;853;match;;
854;854;matchPattern;;
855;855;material;;
856;856;max;;
857;857;maxOccurs;;
858;858;medium;;
859;859;mergedIn;;
860;860;met;;
861;861;method;;
862;862;mimeType;;
863;863;min;;
864;864;minOccurs;;
865;865;mode;;
866;866;module;;
867;867;mutual;;
868;868;n;;
869;869;name;;
870;870;new;;
871;871;next;;
872;872;norm;;
873;873;notAfter;;
874;874;notAfter-custom;;
875;875;notAfter-iso;;
876;876;notation;;
877;877;notBefore;;
878;878;notBefore-custom;;
879;879;notBefore-iso;;
880;880;ns;;
881;881;nymRef;;
882;882;occurs;;
883;883;opt;;
884;884;optional;;
885;885;ord;;
886;886;order;;
887;887;ordered;;
888;888;org;;
889;889;orig;;
890;890;origin;;
891;891;otherLangs;;
892;892;outDegree;;
893;893;parent;;
894;894;part;;
895;895;parts;;
896;896;passive;;
897;897;pattern;;
898;898;perf;;
899;899;period;;
900;900;place;;
901;901;points;;
902;902;pre;;
903;903;precision;;
904;904;predeclare;;
905;905;prefix;;
906;906;prev;;
907;907;quantity;;
908;908;real;;
909;909;reason;;
910;910;ref;;
911;911;rend;;
912;912;render;;
913;913;rendition;;
914;914;replacementPattern;;
915;915;resp;;
916;916;result;;
917;917;rhyme;;
918;918;role;;
919;919;rotate;;
920;920;rows;;
921;921;ruledLines;;
922;922;sameAs;;
923;923;sample;;
924;924;scale;;
925;925;scheme;;
926;926;scope;;
927;927;scribe;;
928;928;scribeRef;;
929;929;script;;
930;930;scriptRef;;
931;931;select;;
932;932;seq;;
933;933;sex;;
934;934;since;;
935;935;size;;
936;936;social;;
937;937;sort;;
938;938;sortKey;;
939;939;source;;
940;940;space;;
941;941;spanTo;;
942;942;split;;
943;943;start;;
944;944;status;;
945;945;stdDeviation;;
946;946;style;;
947;947;subtype;;
948;948;synch;;
949;949;tag;;
950;950;tags;;
951;951;target;;
952;952;targetEnd;;
953;953;targetLang;;
954;954;targets;;
955;955;targFunc;;
956;956;terminal;;
957;957;time;;
958;958;to;;
959;959;to-custom;;
960;960;to-iso;;
961;961;trans;;
962;962;trunc;;
963;963;type;;
964;964;ulx;;
965;965;uly;;
966;966;unit;;
967;967;uri;;
968;968;url;;
969;969;usage;;
970;970;valid;;
971;971;value;;
972;972;valueDatcat;;
973;973;varSeq;;
974;974;version;;
975;975;versionDate;;
976;976;weights;;
977;977;when;;
978;978;when-custom;;
979;979;when-iso;;
980;980;where;;
981;981;who;;
982;982;width;;
983;983;wit;;
984;984;withId;;
985;985;writtenLines;;
986;986;xml:base;;
987;987;xml:id;;
988;988;xml:lang;;
989;989;xml:space;;
"';";;att.global.rendition;;
;;att.global.responsibility;;
;;att.global.source;;
;;abstract;;
;;correspAction;;
;;correspContext;;
;;correspDesc;;
;;punctuation;;
;;msFrag;;
;;obect;;
;;persona;;
;;transcriptionDesc;;
;;objectName;;
;;unit;;
;;listObject;;
;;objectName;;
;;dataSpec;;
;;outputRendition;;
;;secl;;
;;alternate;;
;;annotationBlock;;
;;anyElement;;
;;empty;;
;;dataFacet;;
;;dataRef;;
;;model;;
;;modelGrp;;
;;modelSequence;;
;;objectIdentifier;;
;;param;;
;;paramList;;
;;paramSpec;;
;;path;;
;;sequence;;
;;schemaRef;;
;;textNode;;
;;xenoData;;
;;unit;;
;;att.deprecated;;
;;model;;
;;model.objectLike;;
;;att.notated;;